date,cases,zika, sintomas, zika sintomas, el zika, sintomas del zika, virus zika, virus, zika colombia, que es zika, virus del zika, el sika, el zika sintomas, sintomas de zika, zika embarazo, zika microcefalia, zika sintomas colombia, zika fiebre, sika, sintomas del, el sica, zika repite,twitter,healthmap
8/9/15,1,55.60882534,7865.916497,15.14158552,26.38464697,7.570792761,32.84606854,3738.248039,15.16013676,7.570792761,18.86230792,25.26259359,7.570792761,0,0,0,7.570792761,9.804828355,361.4217765,1546.74475,42.97376037,0,0.000073576,0
8/16/15,1,42.23968945,7894.306888,7.551660005,11.88329535,7.551660005,27.67048096,3790.098335,7.910433581,7.920604495,23.73130074,11.89144167,0,0,0,0,7.551660005,11.54469863,319.3808343,1636.398759,55.4253515,0,0.000022527,0
8/23/15,1,37.41108224,7687.968,7.551660005,13.48460619,7.551660005,27.43715102,4289.603415,11.20917293,7.574053677,15.10332001,11.17496662,0,0,0,0,7.551660005,13.28456891,354.3897413,1624.318097,52.38135474,0,0.000024285,0
8/30/15,0,52.95346028,8052.024763,7.574053677,15.08591704,11.29249769,30.28197911,4206.382154,15.02443918,7.574053677,12.60439741,20.16917745,0,0,0,0,7.559179272,15.02443918,327.8167799,1601.228748,45.41689318,0,0.000051018,0
9/6/15,5,40.08811084,8042.77843,11.27959945,22.59337955,15.03333537,22.55944526,4047.597778,15.06225303,9.428176893,11.27959945,33.87632121,0,0,0,0,7.566698539,16.83085168,353.0073388,1579.649126,67.58526914,0,0.000024378,0
9/13/15,8,62.6808269,7681.834904,7.555334939,15.04457868,7.574217806,32.59227421,4181.78344,15.14843561,11.28230011,15.14843561,20.06460061,0,0,0,0,7.574217806,18.63726417,338.7031667,1598.21102,60.17566986,0,0.000049411,0
9/20/15,13,65.09367883,7842.333119,7.483721583,30.06748602,7.483721583,45.068711,4032.614637,17.51752139,7.505914687,11.22332552,11.31505565,0,7.516871505,0,0,7.516871505,20.44367667,317.8552864,1574.426936,37.53645808,0,0,0
9/27/15,42,155.7725732,7713.389473,29.68499485,22.25910171,24.73562802,71.71844421,3656.633183,14.82270984,12.3521403,24.72442188,34.59776489,11.14027921,11.14027921,0,0,7.445347506,22.25008916,346.1788007,1505.588414,42.01245189,0,0,0
10/4/15,73,117.3930344,8031.479247,13.04672982,13.04672982,7.916626948,59.9962529,3625.65677,7.8250449,7.831863002,15.62299494,39.33118976,19.16129036,7.748795896,0,0,7.81149747,7.916626948,357.2927342,1632.91394,39.15126585,0,0.000022092,0
10/11/15,93,977.5707308,8050.710281,128.9471257,134.1552021,69.63376671,539.1049808,4397.966713,110.8909663,59.32120499,118.6641614,59.3071443,27.1823015,18.0506827,7.671228701,0,25.76852827,9.390931007,508.2022145,1759.218481,54.15515544,0,0.000190141,0
10/18/15,210,1309.931961,8070.586623,146.6092082,213.8939925,62.45271071,629.6897959,4579.28432,163.427816,88.90719332,134.5406084,96.17944896,24.03775799,48.05882773,14.48045757,0,28.83714288,10.86523507,656.3245548,1932.676533,60.08605086,0,0.000050467,9
10/25/15,323,883.0435557,7551.706704,204.7032014,149.9379158,104.7158158,407.0828945,3870.959069,104.7402651,47.58877081,88.09254994,78.58023056,33.31210011,40.45118826,7.732505983,0,42.83302334,7.17421519,626.0614043,1714.180922,85.7409,0,0.000079947,0
11/1/15,542,1239.72038,7893.051858,315.6647547,166.8325395,138.6046158,500.402918,4235.476792,192.4154533,53.8946377,92.42997982,105.190804,30.79060224,51.31870115,7.732505983,0,107.7294789,12.83608205,803.2852026,1806.99201,102.6583137,0,0.000050603,147
11/8/15,1099,1397.158465,8281.578323,352.3430922,228.2764272,183.6224625,543.4781316,4271.019525,225.825724,64.4990585,134.0238166,114.1651948,42.20696116,54.57266255,11.16515958,0,124.0450277,12.42123337,826.581525,1762.025595,101.7544998,0,0,83
11/15/15,1182,1109.506661,8031.783099,255.0320529,186.6664308,128.7922965,386.5111397,3869.951738,94.67510599,49.93292973,102.5280642,136.7033333,36.82072733,42.0520606,13.15036723,15.89230125,55.23667319,10.5144107,738.7738477,1679.962443,126.1721761,0,0.000049338,101
11/22/15,1282,1488.878778,8325.402004,359.8275525,242.3785245,239.8756123,372.834724,3829.799148,172.1465438,70.40700717,93.84050436,138.1645008,41.69332824,54.77544936,15.62477684,7.771036962,75.63438256,7.847187989,993.2906202,1882.493756,145.9097469,7.771036962,0.000026304,53
11/29/15,1626,1681.459411,8253.965822,379.2589271,299.336039,252.8107508,420.4549852,3327.223984,181.2889693,65.99250971,118.1690806,142.8310679,41.17524716,46.72785358,24.73087443,21.98862172,57.7225575,24.7367081,988.9961685,1879.246663,164.7831154,8.226218706,0.000026795,1205
12/6/15,1560,2454.359667,8976.812183,566.2987884,529.8349017,395.8010154,657.7283619,3751.299229,164.5332927,133.9776223,204.0651225,304.3990466,88.30380699,91.3467593,36.53115598,27.52216469,48.77110583,21.32739966,1221.269692,2094.943209,182.6861818,8.606156451,0.000147319,0
12/13/15,1903,3085.678763,9407.123211,739.7464871,643.6363174,514.2416839,589.4226625,3690.391798,222.5420789,138.4223853,165.4005714,276.715699,123.3456385,138.3450782,30.0789492,15.04309767,78.19718855,21.04014723,1359.455338,2267.723177,243.5905138,8.986094196,0.000132813,2102
12/20/15,1619,2993.224116,8685.931861,778.8651089,656.6007918,506.0097994,724.9919799,3499.494214,233.2020529,114.7806074,154.3383061,362.4379147,118.444308,118.4486319,48.55847491,10.69491795,82.51015165,21.51473616,1486.145877,2049.325732,290.6900765,27.02316579,0.000150485,0
12/27/15,1518,3959.995735,10466.59817,980.5098268,771.9009814,633.8193719,883.6293858,3777.139797,316.8205763,111.8963485,257.2342201,410.3422368,152.9028454,208.7879073,48.48011502,16.74549048,115.5345304,27.96087193,1678.098221,2606.288005,302.1144473,18.63847965,0.000099093,3140
1/3/16,2415,5843.912397,11104.70705,1303.836517,1067.177669,930.46314,1344.165336,4377.712373,556.8455568,398.2720265,451.2219859,472.8590841,118.2241888,217.8152244,180.491615,77.8646796,230.2194749,46.67214071,2212.127012,2862.546766,320.4976823,18.60857937,0.000053179,0
1/10/16,2759,5944.583941,11420.42622,1710.791163,1071.040264,1097.63278,1208.989892,4325.075281,545.8775707,275.7623648,328.6265103,460.7617761,208.3504048,313.9749889,170.1786978,46.95080424,211.3146535,35.21907948,1995.502304,3104.775076,267.0701393,13.19245605,0.000054993,0
1/17/16,3763,14667.10497,13266.63994,4074.034607,3367.764142,2490.430533,2934.422738,6740.66999,1310.399755,1274.974689,1020.512536,958.3659264,468.4275325,595.5615226,619.9870651,606.3892536,292.4401336,54.16833283,3364.8813,4442.00481,389.7780511,40.59600054,0.000459929,6691
1/24/16,5062,12671.488,12821.54624,3533.700607,2886.257883,2226.086343,1947.194146,5666.781922,1024.027144,681.0337185,693.7897617,706.6784047,366.3566776,582.937171,343.093477,433.2648837,221.8679601,79.94040183,2659.21921,4191.43011,294.0915977,46.43835075,0.000543168,0
1/31/16,5681,14415.41174,12683.30645,4061.164242,3494.360948,2740.513234,1880.264749,5902.875561,1146.119646,792.4635808,729.3420813,840.8413487,419.2871822,671.1341373,290.7626021,453.1157555,235.0737272,50.89990216,2772.073984,4516.823954,310.2453859,53.31927592,0.000876821,2959
2/7/16,4980,8654.948796,11305.00152,2747.905355,2351.110172,1982.127858,873.1039042,4888.734859,602.4268949,560.3823707,392.2051885,544.0740913,373.586372,492.6281121,156.4398752,228.8624974,154.1546528,56.05432597,1886.54934,3717.170401,184.4338829,37.35284997,0.000514168,9155
2/14/16,4373,5885.654256,9855.102839,1861.362094,1565.056212,1372.146463,609.1998289,4533.837652,520.9798041,330.6739553,244.6156761,405.4544794,219.6498571,339.5950769,104.2387372,88.30343628,110.9591355,31.72805931,1549.230308,3029.75059,149.4500832,20.39403739,0.000155444,5910
2/21/16,3617,4499.652905,9306.340413,1282.312386,1282.042184,984.4539833,494.2223508,4360.283843,388.3597365,319.8719647,229.4512837,333.221487,189.7857396,249.3711713,75.06940252,63.98057391,70.67362891,35.29180276,1306.299723,2643.998397,123.5813252,11.04552828,0.000379867,5456
2/28/16,3616,4212.718425,9498.829958,1183.918822,1420.209857,919.3421313,422.7009211,4334.100607,359.9702807,472.7609621,216.7882125,310.0707167,208.1397366,249.3639533,75.83366231,58.55848812,65.07099813,36.85214586,1157.677319,2643.036046,130.1052972,13.01656351,0.000123164,5695
3/6/16,3281,4148.462059,9460.995684,1115.15962,1416.002402,878.4375685,409.3019134,4350.413645,327.350785,537.6378394,179.2294957,300.8969951,227.896802,230.0404298,70.82241171,39.82656283,57.51261482,44.24623486,1081.895591,2717.097897,128.3745115,13.34025515,0.000172543,5065
3/13/16,2680,3310.309613,9037.98492,861.9369638,973.0539374,667.3659545,348.3609025,4203.881653,285.0540505,169.6988186,133.4879449,194.6202124,104.0830275,180.9854364,52.03774855,40.71620483,45.23438204,20.37036914,954.8468405,2369.391472,106.3387427,10.12789238,0.000096634,3702
3/20/16,2231,3533.058677,9969.15623,1160.039856,883.2215195,886.011028,335.3100375,3786.223919,294.3771192,134.0750447,110.8092882,195.3316726,137.0144139,209.8319966,61.25395027,26.20863734,55.34777697,14.56739694,886.2120713,2649.430242,107.9413377,20.41268665,0.00013696,4251
3/27/16,3518,3615.8237,9740.286789,1309.550708,899.6000081,952.40165,388.0888044,4178.026328,218.2844251,171.9755524,145.5780183,136.7932603,169.7690873,227.0498274,41.89580993,26.46685629,52.92435012,35.28096334,818.0035983,2877.073294,79.3685638,13.2284315,0.0000336,3114
4/3/16,3145,2915.569878,9314.492828,888.1424076,820.877746,654.872209,345.405292,4113.430792,183.8451975,204.0937299,125.6468143,125.6088513,143.5380829,201.8524155,73.94935825,38.11869174,22.40439618,24.68367365,850.0331054,2379.776648,67.30198296,6.728705443,0.000035094,2555
4/10/16,3123,2450.771526,8816.429163,653.1404629,648.6631711,471.6127229,303.3415494,4069.651958,161.602047,155.0166407,101.8493736,121.7501608,79.68243402,141.6611169,55.36850392,44.26362896,19.95173266,11.07476771,763.8319931,2180.928946,97.44499938,11.08213614,0.000032718,3446
4/17/16,2878,2327.291891,8473.041453,686.0369756,655.1227477,505.18147,242.6694113,4085.293208,125.7675767,130.215197,119.1415901,121.3454023,97.01045447,138.9436103,61.75656911,33.03832625,15.44781253,24.24293019,641.8881151,2027.13139,86.06480858,6.618013869,0.000101671,3791
4/24/16,2753,2284.210449,8812.554539,636.1698129,594.316394,455.0462318,262.9205396,4312.674992,152.4397079,110.461437,86.16086959,123.7245301,75.1307474,132.5284013,50.8234601,30.94016456,15.46742089,24.28789253,680.3990524,1955.043906,88.32780499,11.04279702,0.000104683,3322
5/1/16,2519,2008.428802,8564.282283,573.1821263,533.2659536,408.7755016,255.4679734,4429.859025,119.962933,111.0952782,86.61234935,55.52482259,75.51987703,119.9818018,57.73281212,19.99773087,15.55013662,26.71186368,628.604074,1997.033593,86.6103086,9.949824826,0,0
5/8/16,2409,1997.334848,8772.149747,607.1361804,524.2394391,470.9515419,200.87371,4239.608809,113.1677823,103.9643779,73.85895562,80.83027048,73.86451916,122.3970222,39.24881023,41.55840646,32.33963286,16.17259819,639.6174396,1999.61847,78.50106292,6.88439281,0.000034084,2382
5/15/16,2298,1868.415252,9119.860327,504.0606922,512.7829861,349.927513,222.3204562,4588.689569,114.4717183,107.7330782,72.63289859,118.8581181,70.44102428,101.2405381,24.21252379,15.40373375,23.11289785,22.01799824,708.7695006,2115.015275,68.165305,6.595853068,0.000075338,1592
5/22/16,1161,1870.029112,8972.607995,533.3274021,526.776721,379.3408774,176.3079522,4375.768025,131.6540757,96.01861654,60.28265248,75.90259107,71.42532161,95.95588081,24.54272326,6.698082132,24.55757552,22.31490849,537.7540998,1979.079835,75.87429779,6.810458532,0.000045306,1561
5/29/16,1572,1826.513818,8277.824302,550.2490752,442.6073828,379.3322277,175.5685578,4097.745702,112.425743,84.29794694,58.5299286,88.98580129,49.19667604,126.458945,30.46151471,30.43249363,11.72071136,18.71957529,604.2241599,1910.734505,60.84873121,7.025063996,0.000044399,3466
6/5/16,2086,1575.188502,8534.144018,513.2009554,373.6206359,338.2013739,134.7514987,3685.107727,82.7781106,68.59048786,56.75145247,73.31209679,49.67121177,113.5214978,37.84859656,11.83903538,14.19323239,23.64088502,560.5698484,1818.848455,75.7129365,14.27242662,0.0000372,410
6/12/16,3421,1325.783074,8109.770554,445.8727567,312.4235874,309.960808,126.4220114,3609.71002,107.3124435,35.78016211,69.12860357,61.99979526,59.62498599,95.35617199,40.53128864,14.3196146,28.61031295,19.08001707,567.3908247,1735.958289,69.17251692,7.159807302,0.000042457,1572
6/19/16,1398,1112.295046,8258.209687,312.9149524,266.4947711,217.5583996,85.5528375,3520.208045,110.0048252,58.71118815,46.45566966,68.48825035,41.5918958,78.24020556,34.21866844,19.58147699,19.56745094,21.98531182,510.8704125,1650.210357,48.9178543,21.98528312,0,0
6/26/16,1134,1214.561767,8235.634543,314.7995076,317.2956133,220.6223618,91.73948452,3216.986641,94.1666213,44.59659105,39.67178107,49.55737838,34.70274582,61.92997529,52.07139827,22.24112615,14.88150371,14.85903651,441.1046582,1623.363087,47.12042627,7.693724224,0.000141899,12011
7/3/16,984,1266.703791,8674.549303,368.9559364,294.1621392,273.5343099,144.4157077,3351.335883,103.1832843,51.59201128,82.49608563,41.28779089,51.57409938,108.3486438,20.64663467,12.8974103,23.20163069,20.63493949,454.1526834,1816.345163,43.82798337,7.693724224,0.0000648,0
7/10/16,933,853.0213778,8284.710034,210.3596883,198.8177922,147.9567613,110.9525849,3485.916259,50.89458849,41.61035232,43.90156981,57.82407747,32.35821173,46.22275943,16.17525928,6.93505872,10.43444158,13.86520914,436.9114843,1738.35547,48.56636713,6.864839547,0.000140022,0
